Year_of_Publication,Title_Length_in_Characters,Title_Word_Count,Number_of_Authors,Number_of_Institutions_of_First_Author,Number_of_Citations,Number_of_References,Primary_Concept_of_Publication,Is_Open_Access,Abstract_Word_Count,Concepts_Count,Related_Works_Count,Locations_Count,OA_Locations_Count,Has_DOI,Institutions_All_Authors_Count,Citations_Per_Year,Type_of_Publication_article,Type_of_Publication_book,Type_of_Publication_book-chapter,Type_of_Publication_dataset,Type_of_Publication_dissertation,Type_of_Publication_letter,Type_of_Publication_other,Type_of_Publication_paratext,Type_of_Publication_preprint,Type_of_Publication_reference-entry,Type_of_Publication_report,Type_of_Publication_review,Language_of_Publication_ca,Language_of_Publication_de,Language_of_Publication_en,Language_of_Publication_fa,Language_of_Publication_fr,Language_of_Publication_id,Language_of_Publication_it,Language_of_Publication_pt,Open_Access_Type_bronze,Open_Access_Type_closed,Open_Access_Type_diamond,Open_Access_Type_gold,Open_Access_Type_green,Open_Access_Type_hybrid
0.7906976744186096,0.27586206896551724,0.2857142857142857,0.01,0.0,1.0,0.0,Computer science,0,0.0,0.034482758620689655,0.9999999999999998,0.05555555555555555,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.8372093023255829,0.21674876847290642,0.21428571428571427,0.04,0.2,0.6335358547187249,0.04804804804804805,Residual,1,0.04955621301775148,0.6896551724137931,0.28571428571428564,0.2222222222222222,0.1875,1.0,0.022222222222222223,0.7796026372078206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.48837209302325846,0.4729064039408867,0.5,0.02,0.0,0.5304397021565189,0.009009009009009009,Real-time polymerase chain reaction,0,0.0,0.4827586206896552,0.28571428571428564,0.1111111111111111,0.0,1.0,0.005555555555555556,0.2560831163516322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.6046511627907023,0.18226600985221675,0.17857142857142855,0.02,0.2,0.47720316678321306,0.05630630630630631,Thematic analysis,0,0.031804733727810654,0.5172413793103449,0.28571428571428564,0.16666666666666666,0.125,1.0,0.011111111111111112,0.29276464209374936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.48837209302325846,0.18719211822660098,0.17857142857142855,0.03,0.0,0.41572638880592033,0.0,Cloning (programming),0,0.06903353057199212,0.3448275862068965,0.9999999999999998,0.05555555555555555,0.0,0.0,0.0,0.20310482108766673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.48837209302325846,0.0,0.0,0.01,0.2,0.3332290857723163,0.01051051051051051,Random forest,1,0.0,0.5172413793103449,0.28571428571428564,0.05555555555555555,0.0625,1.0,0.005555555555555556,0.16500491488726485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.34883720930233153,0.4482758620689655,0.46428571428571425,0.02,0.2,0.2991436472824769,0.012012012012012012,False discovery rate,0,0.035256410256410256,0.3793103448275862,0.28571428571428564,0.05555555555555555,0.0,1.0,0.011111111111111112,0.117746157416534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.4418604651162852,0.5467980295566502,0.5,0.02,0.2,0.28265964811177213,0.04129129129129129,Cutoff,0,0.0608974358974359,0.44827586206896547,0.28571428571428564,0.05555555555555555,0.0,1.0,0.011111111111111112,0.13015217310242258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.2325581395348877,0.1625615763546798,0.17857142857142855,0.05,0.4,0.2649492759479793,0.016516516516516516,Alignment-free sequence analysis,0,0.0,0.6896551724137931,0.28571428571428564,0.1111111111111111,0.0,1.0,0.044444444444444446,0.08854044091544057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.2325581395348877,0.18719211822660098,0.17857142857142855,0.01,0.4,0.2500325041552609,0.0,Cloning (programming),0,0.0,0.27586206896551724,0.28571428571428564,0.05555555555555555,0.0,1.0,0.011111111111111112,0.08375638211377931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
