Date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-16,1209.176,34.922,93552.53,5180.8,0.0,546.0,4926.0
2006-12-17,3390.46,226.006,345725.32,14398.6,2033.0,4187.0,13341.0
2006-12-18,2203.826,161.792,347373.64,9247.2,1063.0,2621.0,14018.0
2006-12-19,1666.194,150.942,348479.01,7094.0,839.0,7602.0,6197.0
2006-12-20,2225.748,160.998,348923.61,9313.0,0.0,2648.0,14063.0
2006-12-21,1716.624,144.166,346616.31,7238.6,1765.0,2623.0,10421.0
2006-12-22,2341.338,186.906,347305.75,9897.0,3151.0,350.0,11131.0
2006-12-23,4773.386,221.47,345795.95,20200.4,2669.0,425.0,14726.0
2006-12-24,2550.012,149.9,348029.91,11002.2,1703.0,5082.0,6891.0
2006-12-25,2743.12,240.28,350495.9,11450.2,6620.0,1962.0,5795.0
2006-12-26,3934.11,165.102,347940.63,16341.0,1086.0,2533.0,14979.0
2006-12-27,1528.76,178.902,351025.0,6505.2,0.0,314.0,6976.0
2006-12-28,2072.638,208.876,350306.4,8764.2,2207.0,4419.0,9176.0
2006-12-29,3174.392,196.394,346854.68,13350.8,1252.0,5162.0,11329.0
2006-12-30,2789.302,311.928,345897.51,11924.2,3072.0,7891.0,12480.0
2006-12-31,3494.196,150.852,345451.07,14687.4,0.0,347.0,6502.0
2007-01-01,2749.004,148.166,345785.73,11400.4,0.0,352.0,5880.0
2007-01-02,1269.236,190.342,348399.04,5348.2,0.0,348.0,6562.0
2007-01-03,1014.054,196.728,350722.21,4340.2,0.0,344.0,4765.0
2007-01-04,3259.412,202.302,345240.43,13648.6,1051.0,7597.0,10896.0
2007-01-05,2713.364,173.154,346313.9,11354.6,1483.0,379.0,7602.0
2007-01-06,1508.378,192.188,345129.2,6543.2,1336.0,402.0,5678.0
2007-01-07,2447.62,246.074,346899.58,10487.0,1987.0,8177.0,12810.0
2007-01-08,2241.36,207.568,344990.81,9434.4,0.0,467.0,17547.0
2007-01-09,1869.054,207.248,346302.03,7950.4,1688.0,4267.0,9790.0
2007-01-10,2154.8,228.452,347079.53,9155.2,771.0,4456.0,11012.0
2007-01-11,2255.194,230.02,347264.19,9588.0,1378.0,2170.0,12415.0
2007-01-12,1461.296,199.14,347815.02,6205.2,0.0,439.0,8276.0
2007-01-13,3186.814,290.736,344568.4,13612.4,7806.0,2975.0,11341.0
2007-01-14,3007.816,227.12,343664.64,12905.4,1777.0,4215.0,12975.0
2007-01-15,2148.678,174.86,347386.91,9016.6,1099.0,2239.0,15163.0
2007-01-16,1686.404,185.428,348400.45,7165.4,2063.0,644.0,6583.0
2007-01-17,2847.688,200.752,347047.56,11928.8,3500.0,5737.0,16064.0
2007-01-18,1821.462,177.712,346886.78,7693.2,0.0,336.0,13491.0
2007-01-19,1480.44,170.052,345831.76,6301.8,2103.0,330.0,7172.0
2007-01-20,3133.732,238.362,343969.16,13461.2,4324.0,5222.0,11440.0
2007-01-21,3407.262,229.736,344114.09,14674.6,10346.0,5567.0,11599.0
2007-01-22,2180.494,168.642,347908.51,9151.6,1054.0,2983.0,11361.0
2007-01-23,1777.64,138.28,349578.08,7575.6,0.0,1064.0,5061.0
2007-01-24,2987.854,178.06,347699.08,12576.4,3464.0,2480.0,11744.0
2007-01-25,1596.344,144.16,350531.08,6666.2,1158.0,262.0,11239.0
2007-01-26,1617.972,142.902,349591.38,6798.8,1163.0,261.0,8238.0
2007-01-27,2044.072,148.242,347927.86,8567.8,1170.0,3896.0,12374.0
2007-01-28,3090.204,153.352,345798.59,13143.4,3466.0,3997.0,12045.0
2007-01-29,1982.664,165.696,346938.62,8336.0,1123.0,294.0,15254.0
